Date,n,P,score_window
2022-11-25,12,0.1,115.28895833331626
2022-11-28,12,0.3,131.83833333333678
2022-11-29,16,0.1,139.3233333333228
2022-11-30,16,0.1,135.68630208332252
2022-12-01,16,0.1,132.60380208332572
2022-12-02,16,0.1,166.25911458333212
2022-12-05,20,0.1,195.69045833333075
2022-12-06,20,0.1,108.28212499999427
2022-12-07,12,0.3,65.78000000000611
2022-12-08,30,0.1,74.39841666667053
2022-12-09,14,0.18,84.83584523809986
2022-12-12,12,0.3,132.9487500000032
2022-12-13,14,0.18,163.3616309523859
2022-12-14,14,0.18,259.7235238095345
2022-12-15,14,0.18,259.7235238095345
2022-12-16,14,0.18,296.6074166666767
2022-12-19,14,0.18,263.7287023809622
2022-12-20,14,0.18,302.774523809534
2022-12-21,22,0.3,243.20102272727308
2022-12-22,22,0.3,253.80935606060666
2022-12-23,20,0.3,201.26045833333046
2022-12-26,20,0.3,275.9695833333317
2022-12-27,14,0.3,386.95976190475994
2022-12-28,14,0.3,386.95976190475994
2022-12-29,14,0.3,351.95976190475994
2022-12-30,20,0.3,416.404583333333
2023-01-02,14,0.3,456.8097619047621
2023-01-03,14,0.3,456.8097619047621
2023-01-04,14,0.3,456.8097619047621
2023-01-05,14,0.3,561.4999404761911
2023-01-06,14,0.3,531.6999404761918
2023-01-09,20,0.3,550.5313333333361
2023-01-10,20,0.3,517.081333333339
2023-01-11,18,0.3,510.56708333334245
2023-01-12,18,0.3,510.56708333334245
2023-01-13,12,0.22,501.4288333333425
2023-01-16,12,0.22,562.3340833333423
2023-01-17,16,0.2,482.8641666666772
2023-01-18,16,0.2,654.1141666666772
2023-01-19,16,0.2,664.7058333333407
2023-01-20,16,0.2,616.0127083333391
2023-01-23,16,0.2,564.3461458333404
2023-01-24,16,0.2,511.4005208333401
2023-01-25,16,0.2,503.0755208333394
2023-01-27,16,0.2,554.8952083333388
2023-01-30,16,0.2,552.1361458333377
2023-01-31,16,0.2,557.0861458333384
2023-02-01,16,0.2,557.0361458333355
2023-02-02,24,0.1,360.3377083333289
2023-02-03,26,0.1,342.88516025641366
2023-02-06,26,0.1,312.6970833333362
2023-02-07,26,0.1,286.78708333333634
2023-02-08,26,0.1,290.8734294871829
2023-02-09,26,0.1,256.7810256410303
2023-02-10,26,0.1,281.63102564103247
2023-02-13,26,0.1,253.3308333333407
2023-02-14,26,0.1,254.95400641026208
2023-02-15,26,0.1,278.6142307692353
2023-02-16,26,0.1,278.83807692308255
2023-02-17,26,0.1,278.5849679487292
2023-02-20,26,0.1,224.43496794872772
2023-02-21,26,0.1,223.23987179488176
2023-02-22,30,0.1,229.383583333336
2023-02-23,30,0.1,240.45933333333596
